# submitted_item	validated_id	current_symbol
FBgn0032222	FBgn0032222	CG5037
FBgn0011361	FBgn0011361	ND-ACP
FBgn0015031	FBgn0015031	cype
FBgn0016691	FBgn0016691	ATPsynO
FBgn0017567	FBgn0017567	ND-23
FBgn0028342	FBgn0028342	ATPsyndelta
FBgn0029868	FBgn0029868	ND-B16.6
FBgn0030718	FBgn0030718	ND-20
FBgn0030853	FBgn0030853	ND-24
FBgn0031021	FBgn0031021	ND-18
FBgn0031830	FBgn0031830	COX5B
FBgn0034877	FBgn0034877	levy
FBgn0035032	FBgn0035032	ATPsynF
FBgn0035046	FBgn0035046	ND-19
FBgn0037001	FBgn0037001	ND-39
FBgn0038224	FBgn0038224	ATPsynE
FBgn0085468	FBgn0085468	ND-MWFE
FBgn0262512	FBgn0262512	Vha14-1
FBgn0000100	FBgn0000100	RpLP0
FBgn0002590	FBgn0002590	RpS5a
FBgn0002593	FBgn0002593	RpLP1
FBgn0002626	FBgn0002626	RpL32
FBgn0003274	FBgn0003274	RpLP2
FBgn0003279	FBgn0003279	RpL4
FBgn0003517	FBgn0003517	sta
FBgn0005593	FBgn0005593	RpL7
FBgn0010265	FBgn0010265	RpS13
FBgn0010408	FBgn0010408	RpS9
FBgn0010409	FBgn0010409	RpL18A
FBgn0010412	FBgn0010412	RpS19a
FBgn0011272	FBgn0011272	RpL13
FBgn0011284	FBgn0011284	RpS4
FBgn0013325	FBgn0013325	RpL11
FBgn0015756	FBgn0015756	RpL9
FBgn0017545	FBgn0017545	RpS3A
FBgn0020910	FBgn0020910	RpL3
FBgn0023170	FBgn0023170	RpL39
FBgn0024733	FBgn0024733	RpL10
FBgn0029897	FBgn0029897	RpL17
FBgn0030616	FBgn0030616	RpL37a
FBgn0033912	FBgn0033912	RpS23
FBgn0034743	FBgn0034743	RpS16
FBgn0034968	FBgn0034968	RpL12
FBgn0034986	FBgn0034986	mRpS17
FBgn0035753	FBgn0035753	RpL18
FBgn0036213	FBgn0036213	RpL10Ab
FBgn0037328	FBgn0037328	RpL35A
FBgn0037351	FBgn0037351	RpL13A
FBgn0037899	FBgn0037899	RpL24-like
FBgn0038307	FBgn0038307	mRpS10
FBgn0039406	FBgn0039406	RpL34a
FBgn0039757	FBgn0039757	RpS7
FBgn0064225	FBgn0064225	RpL5
FBgn0086472	FBgn0086472	RpS25
FBgn0002787	FBgn0002787	Rpn8
FBgn0004066	FBgn0004066	Prosalpha4
FBgn0010590	FBgn0010590	Prosbeta1
FBgn0015283	FBgn0015283	Rpn10
FBgn0016697	FBgn0016697	Prosalpha5
FBgn0020369	FBgn0020369	Rpt6
FBgn0023174	FBgn0023174	Prosbeta2
FBgn0023175	FBgn0023175	Prosalpha7
FBgn0026380	FBgn0026380	Prosbeta3
FBgn0028686	FBgn0028686	Rpt3
FBgn0028687	FBgn0028687	Rpt1
FBgn0028688	FBgn0028688	Rpn7
FBgn0028690	FBgn0028690	Rpn5
FBgn0028692	FBgn0028692	Rpn2
FBgn0028694	FBgn0028694	Rpn11
FBgn0029133	FBgn0029133	REG
FBgn0029134	FBgn0029134	Prosbeta5
FBgn0032596	FBgn0032596	Prosbeta4
FBgn0032884	FBgn0032884	Pomp
FBgn0033669	FBgn0033669	PI31
FBgn0033886	FBgn0033886	Rpn13
FBgn0086134	FBgn0086134	Prosalpha2
FBgn0250746	FBgn0250746	Prosbeta7
FBgn0250843	FBgn0250843	Prosalpha6
FBgn0261394	FBgn0261394	Prosalpha3
FBgn0261396	FBgn0261396	Rpn3
FBgn0266666	FBgn0266666	Sem1
FBgn0032820	FBgn0032820	fbp
FBgn0004888	FBgn0004888	Scsalpha1
FBgn0010352	FBgn0010352	Nc73EF
FBgn0014031	FBgn0014031	Spat
FBgn0023129	FBgn0023129	aay
FBgn0023477	FBgn0023477	Taldo
FBgn0024957	FBgn0024957	Irp-1B
FBgn0027580	FBgn0027580	PCB
FBgn0027945	FBgn0027945	ppl
FBgn0029155	FBgn0029155	Men-b
FBgn0030239	FBgn0030239	CG17333
FBgn0032350	FBgn0032350	CG6287
FBgn0036759	FBgn0036759	CG5577
FBgn0037607	FBgn0037607	CG8036
FBgn0037643	FBgn0037643	ScsbetaA
FBgn0038771	FBgn0038771	CG4390
FBgn0262559	FBgn0262559	Mdh2
FBgn0262782	FBgn0262782	Mdh1
FBgn0029823	FBgn0029823	Shmt
FBgn0011768	FBgn0011768	Fdh
FBgn0012036	FBgn0012036	Aldh
FBgn0025352	FBgn0025352	Mtpbeta
FBgn0028479	FBgn0028479	Mtpalpha
FBgn0029969	FBgn0029969	CG10932
FBgn0033879	FBgn0033879	Echs1
FBgn0034432	FBgn0034432	CG7461
FBgn0034628	FBgn0034628	Acox57D-p
FBgn0036824	FBgn0036824	CG3902
FBgn0038742	FBgn0038742	Arc42
FBgn0040064	FBgn0040064	yip2
FBgn0263120	FBgn0263120	Acsl
FBgn0027348	FBgn0027348	bgm
FBgn0031813	FBgn0031813	CG9527
FBgn0086687	FBgn0086687	Desat1
FBgn0283427	FBgn0283427	FASN1
FBgn0032358	FBgn0032358	Ppt2
FBgn0000250	FBgn0000250	cact
FBgn0001291	FBgn0001291	Jra
FBgn0002930	FBgn0002930	nec
FBgn0010303	FBgn0010303	hep
FBgn0014018	FBgn0014018	Rel
FBgn0025583	FBgn0025583	BomS2
FBgn0026323	FBgn0026323	Tak1
FBgn0030310	FBgn0030310	PGRP-SA
FBgn0034329	FBgn0034329	BomS1
FBgn0035601	FBgn0035601	Uev1A
FBgn0035975	FBgn0035975	PGRP-LA
FBgn0040736	FBgn0040736	BomS3
FBgn0260632	FBgn0260632	dl
FBgn0001263	FBgn0001263	inaD
FBgn0002938	FBgn0002938	ninaC
FBgn0003861	FBgn0003861	trp
FBgn0004435	FBgn0004435	Galphaq
FBgn0004623	FBgn0004623	Gbeta76C
FBgn0004784	FBgn0004784	inaC
FBgn0004910	FBgn0004910	Eip63F-1
FBgn0262738	FBgn0262738	norpA
FBgn0004611	FBgn0004611	Plc21C
FBgn0001091	FBgn0001091	Gapdh1
FBgn0003074	FBgn0003074	Pgi
FBgn0003076	FBgn0003076	Pgm1
FBgn0010548	FBgn0010548	Aldh-III
FBgn0014869	FBgn0014869	Pglym78
FBgn0028325	FBgn0028325	Pdha
FBgn0028540	FBgn0028540	CG9008
FBgn0034356	FBgn0034356	Pepck2
FBgn0086355	FBgn0086355	Tpi
FBgn0283658	FBgn0283658	muc
FBgn0036762	FBgn0036762	CG7430
FBgn0039635	FBgn0039635	Pdhb
FBgn0043783	FBgn0043783	CG32444
FBgn0036927	FBgn0036927	Gabat
FBgn0030482	FBgn0030482	CG1673
FBgn0010611	FBgn0010611	Hmgs
FBgn0021765	FBgn0021765	scu
FBgn0000064	FBgn0000064	Ald1
FBgn0000566	FBgn0000566	Eip55E
FBgn0000579	FBgn0000579	Eno
FBgn0001092	FBgn0001092	Gapdh2
FBgn0001208	FBgn0001208	Hn
FBgn0003071	FBgn0003071	Pfk
FBgn0032076	FBgn0032076	Argl
FBgn0037146	FBgn0037146	P5CS
FBgn0005278	FBgn0005278	Sam-S
FBgn0014455	FBgn0014455	Ahcy
FBgn0019932	FBgn0019932	SamDC
FBgn0031148	FBgn0031148	Cbs
FBgn0034215	FBgn0034215	Mtap
FBgn0035371	FBgn0035371	AhcyL1
FBgn0037186	FBgn0037186	CG11241
FBgn0037955	FBgn0037955	Kyat
FBgn0040319	FBgn0040319	Gclc
FBgn0046114	FBgn0046114	Gclm
FBgn0052068	FBgn0052068	Adi1
FBgn0012034	FBgn0012034	AcCoAS
FBgn0002719	FBgn0002719	Men
FBgn0037024	FBgn0037024	tzn
FBgn0000261	FBgn0000261	Cat
FBgn0001124	FBgn0001124	Got1
FBgn0001142	FBgn0001142	Gs1
FBgn0001145	FBgn0001145	Gs2
FBgn0001098	FBgn0001098	Gdh
FBgn0037138	FBgn0037138	P5CDh1
FBgn0037687	FBgn0037687	CG8132
FBgn0041194	FBgn0041194	Prat2
FBgn0010038	FBgn0010038	GstD2
FBgn0027070	FBgn0027070	Ugt36E1
FBgn0027073	FBgn0027073	Ugt49B1
FBgn0035907	FBgn0035907	GstO1
FBgn0036842	FBgn0036842	Ugt316A1
FBgn0063497	FBgn0063497	GstE3
FBgn0063498	FBgn0063498	GstE2
FBgn0022029	FBgn0022029	l(2)k01209
FBgn0032001	FBgn0032001	CG8360
FBgn0033381	FBgn0033381	GstE13
FBgn0034417	FBgn0034417	CG15117
FBgn0037513	FBgn0037513	pyd3
FBgn0039464	FBgn0039464	CG6330
FBgn0063494	FBgn0063494	GstE6
FBgn0000319	FBgn0000319	Chc
FBgn0003392	FBgn0003392	shi
FBgn0003731	FBgn0003731	Egfr
FBgn0011570	FBgn0011570	cpb
FBgn0013749	FBgn0013749	Arf102F
FBgn0014010	FBgn0014010	Rab5
FBgn0015790	FBgn0015790	Rab11
FBgn0020655	FBgn0020655	ArfGAP1
FBgn0024273	FBgn0024273	WASp
FBgn0028538	FBgn0028538	Sec71
FBgn0031437	FBgn0031437	Arpc5
FBgn0035715	FBgn0035715	Ist1
FBgn0036740	FBgn0036740	Vps60
FBgn0037299	FBgn0037299	Vps37B
FBgn0038659	FBgn0038659	EndoA
FBgn0039056	FBgn0039056	CenB1A
FBgn0086785	FBgn0086785	Vps36
FBgn0262733	FBgn0262733	Src64B
FBgn0283469	FBgn0283469	Vps4
FBgn0284255	FBgn0284255	Arpc4
FBgn0027074	FBgn0027074	Ugt36F1
FBgn0027590	FBgn0027590	GstE12
FBgn0025800	FBgn0025800	Smox
FBgn0000273	FBgn0000273	Pka-C1
FBgn0001085	FBgn0001085	fz
FBgn0002413	FBgn0002413	dco
FBgn0003090	FBgn0003090	pk
FBgn0003371	FBgn0003371	sgg
FBgn0015024	FBgn0015024	CkIalpha
FBgn0015838	FBgn0015838	Vang
FBgn0025638	FBgn0025638	Roc1a
FBgn0026597	FBgn0026597	Axn
FBgn0041604	FBgn0041604	dlp
FBgn0261617	FBgn0261617	nej
FBgn0267912	FBgn0267912	CanA-14F
FBgn0034335	FBgn0034335	GstE1
FBgn0000042	FBgn0000042	Act5C
FBgn0003890	FBgn0003890	betaTub97EF
FBgn0005671	FBgn0005671	Vha55
FBgn0010638	FBgn0010638	Sec61beta
FBgn0014380	FBgn0014380	RhoL
FBgn0027779	FBgn0027779	VhaSFD
FBgn0028663	FBgn0028663	VhaM9.7-b
FBgn0030276	FBgn0030276	Dlic
FBgn0031049	FBgn0031049	Sec61gamma
FBgn0037396	FBgn0037396	CG11459
FBgn0262515	FBgn0262515	VhaAC45
FBgn0262736	FBgn0262736	Vha16-1
FBgn0263598	FBgn0263598	Vha68-2
FBgn0283535	FBgn0283535	Vha26
FBgn0086357	FBgn0086357	Sec61alpha
FBgn0003062	FBgn0003062	Fib
FBgn0010520	FBgn0010520	Bka
FBgn0020255	FBgn0020255	Ran
FBgn0028473	FBgn0028473	Non1
FBgn0029148	FBgn0029148	NHP2
FBgn0033454	FBgn0033454	CG1671
FBgn0034232	FBgn0034232	CG4866
FBgn0034243	FBgn0034243	Ns2
FBgn0034915	FBgn0034915	eIF6
FBgn0038473	FBgn0038473	Ns1
FBgn0038964	FBgn0038964	Nop56
FBgn0050349	FBgn0050349	CG30349
FBgn0259937	FBgn0259937	Nop60B
FBgn0264492	FBgn0264492	CkIIalpha
FBgn0036208	FBgn0036208	CG10361
FBgn0039094	FBgn0039094	CG10184
FBgn0013770	FBgn0013770	Cp1
FBgn0034997	FBgn0034997	CG3376
FBgn0000416	FBgn0000416	Sap-r
FBgn0029093	FBgn0029093	cathD
FBgn0029507	FBgn0029507	Tsp42Ed
FBgn0032949	FBgn0032949	Lamp1
FBgn0034229	FBgn0034229	CG4847
FBgn0035445	FBgn0035445	Ids
FBgn0041630	FBgn0041630	Hexo1
FBgn0051072	FBgn0051072	Lerp
FBgn0260462	FBgn0260462	CG12163
FBgn0004516	FBgn0004516	Gad1
FBgn0032729	FBgn0032729	L2HGDH
FBgn0035978	FBgn0035978	UGP
FBgn0033101	FBgn0033101	CG9436
FBgn0035147	FBgn0035147	Gale
FBgn0263200	FBgn0263200	Galt
FBgn0027080	FBgn0027080	TyrRS
FBgn0027081	FBgn0027081	ThrRS
FBgn0027088	FBgn0027088	GlyRS
FBgn0027090	FBgn0027090	GlnRS
FBgn0027091	FBgn0027091	CysRS
FBgn0027093	FBgn0027093	ArgRS
FBgn0027094	FBgn0027094	AlaRS
FBgn0031497	FBgn0031497	SerRS
FBgn0034401	FBgn0034401	MetRS
FBgn0000116	FBgn0000116	Argk
FBgn0003423	FBgn0003423	slgA
FBgn0013307	FBgn0013307	Odc1
FBgn0022774	FBgn0022774	Oat
FBgn0004507	FBgn0004507	GlyP
FBgn0027560	FBgn0027560	Tps1
FBgn0031907	FBgn0031907	CG5171
FBgn0053138	FBgn0053138	AGBE
FBgn0265191	FBgn0265191	Gyg
FBgn0003965	FBgn0003965	v
FBgn0037891	FBgn0037891	CG5214
FBgn0026268	FBgn0026268	antdh
FBgn0030347	FBgn0030347	CG15739
FBgn0034405	FBgn0034405	Jheh2
FBgn0051075	FBgn0051075	CG31075
FBgn0069973	FBgn0069973	CG40485
FBgn0001941	FBgn0001941	ifc
FBgn0016078	FBgn0016078	wun
FBgn0037163	FBgn0037163	laza
FBgn0037315	FBgn0037315	Cerk
FBgn0039304	FBgn0039304	CG10425
FBgn0045064	FBgn0045064	bwa
FBgn0010391	FBgn0010391	SrpRalpha
FBgn0015298	FBgn0015298	Srp19
FBgn0030306	FBgn0030306	Spase25
FBgn0034535	FBgn0034535	CG11110
FBgn0035827	FBgn0035827	Srp9
FBgn0005355	FBgn0005355	Su(fu)
FBgn0250823	FBgn0250823	gish
FBgn0261988	FBgn0261988	Gprk2
FBgn0003660	FBgn0003660	Syb
FBgn0036643	FBgn0036643	Syx8
FBgn0039212	FBgn0039212	Syx18
FBgn0044871	FBgn0044871	Gos28
FBgn0260857	FBgn0260857	Bet1
FBgn0260858	FBgn0260858	Ykt6
FBgn0264751	FBgn0264751	Vti1b
FBgn0017550	FBgn0017550	Rga
FBgn0020261	FBgn0020261	pcm
FBgn0028397	FBgn0028397	Tob
FBgn0031868	FBgn0031868	Rat1
FBgn0034921	FBgn0034921	DCP1
FBgn0035271	FBgn0035271	CG2021
FBgn0035397	FBgn0035397	PAN3
FBgn0020018	FBgn0020018	Ppox
FBgn0038925	FBgn0038925	Cchl
