# submitted_item	validated_id	current_symbol
Q8MYY6	FBgn0039596	CG10000
D6W4V7	FBgn0039595	AstA-R2
P14734	FBgn0000659	fkh
A0A0B4KH69	FBgn0037972	CG10005
A4IJ72	FBgn0036461	Zip71B
Q9VGF5	FBgn0260744	Tango9
Q9VAU9	FBgn0026400	Noa36
Q9VAU5	FBgn0039590	CG10011
Q9VGA7	FBgn0038012	CG10013
Q9VGC1	FBgn0038000	Rsbp15
Q9VQS6	FBgn0024244	drm
Q9VND2	FBgn0037338	Snm1
Q9VQU9	FBgn0004893	bowl
B7YZL9	FBgn0020440	Fak
Q9VIW1	FBgn0032785	CG10026
Q9VI96	FBgn0037498	CG10029
Q9VQU0	FBgn0031563	CG10031
P32023	FBgn0000721	for
M9PG80	FBgn0000964	tj
Q9VG91	FBgn0038028	CG10035
P56672	FBgn0015524	otp
P16241	FBgn0086680	vvl
Q95RN0	FBgn0038013	CG10038
P20350	FBgn0004635	rho
Q9VGA5	FBgn0038014	CG10041
Q9VGA4	FBgn0038016	MBD-R2
A8DZ19	FBgn0015803	RtGEF
P20432	FBgn0001149	GstD1
Q9U6P7	FBgn0028400	Syt4
Q9VI85	FBgn0037492	CG10050
A1ZBK1	FBgn0034437	CG10051
Q9W2Q1	FBgn0020617	Rx
Q9VI83	FBgn0037490	CG10053
Q9VI74	FBgn0037482	CG10055
Q9I7L4	FBgn0037481	MAGE
P20353	FBgn0001104	Galphai
Q9VI72	FBgn0011020	Sas-4
E1JGM3	FBgn0034439	CG10062
Q9VS03	FBgn0035727	CG10063
Q9VS00	FBgn0035724	CG10064
P53501	FBgn0000044	Act57B
Q9VI65	FBgn0037473	CG10068
Q9W2I6	FBgn0034611	MFS16
P18491	FBgn0000575	emc
Q24154	FBgn0016726	RpL29
O02373	FBgn0261445	sgl
A0A0B4KFC9	FBgn0034440	CG10073
Q9VRZ7	FBgn0035722	CG10075
Q9U1K1	FBgn0003475	spir
Q8MZI3	FBgn0035720	CG10077
Q967S0	FBgn0041194	Prat2
P04412	FBgn0003731	Egfr
Q9W2F2	FBgn0034641	mahj
A0A0B4KG92	FBgn0034441	CG10081
Q961X0	FBgn0034644	CG10082
Q9VU84	FBgn0036372	Abp1
Q9VIV2	FBgn0002044	swm
Q8SYU5	FBgn0037517	CG10086
M9PI51	FBgn0036369	CG10089
Q9W0E4	FBgn0261243	Psa
Q9VGA2	FBgn0038018	Tim17a1
Q9VGA0	FBgn0038020	GstD9
Q8SXK2	FBgn0037526	ArgRS-m
Q9VGB3	FBgn0038007	Cyp313a3
Q9VGB4	FBgn0038006	Cyp313a2
Q9VGD0	FBgn0037993	dpr15
Q9VG87	FBgn0038032	CG10096
Q9VG86	FBgn0038033	CG10097
Q9VI64	FBgn0037472	CG10098
Q9VIA5	FBgn0037501	Ir84a
M9PEC1	FBgn0035715	Ist1
A1Z9Q9	FBgn0033933	CG10104
Q9V719	FBgn0033935	Sin1
Q7KJ73	FBgn0029506	Tsp42Ee
Q8MR14	FBgn0035713	velo
Q27934	FBgn0013725	phyl
Q9V726	FBgn0024698	Cpsf160
Q7JZW0	FBgn0033942	Cpr51A
Q9VIA6	FBgn0037502	wa-cup
Q9VU78	FBgn0036367	CG10116
Q9V730	FBgn0265974	ttv
P18459	FBgn0005626	ple
Q03427	FBgn0010397	LamC
Q2QBM1	FBgn0002719	Men
Q0E8H7	FBgn0035710	SP1173
P91875	FBgn0019938	RpI1
Q9NG98	FBgn0040268	Top3alpha
Q9VRY0	FBgn0035709	eIF4E4
Q9VRX6	FBgn0024177	zpg
Q9VG23	FBgn0038088	CG10126
P19018	FBgn0003742	tra2
P98159	FBgn0002926	ndl
Q7JZN0	FBgn0010638	Sec61beta
Q5U1B0	FBgn0033949	Had2
Q9VIU8	FBgn0032798	CG10132
Q9VU77	FBgn0036366	JMJD7
Q9VG24	FBgn0038087	beat-Va
Q9VIU5	FBgn0032800	CG10137
Q9W2A5	FBgn0005778	PpD5
