# submitted_item	validated_id	current_symbol
FBgn0002787	FBgn0002787	Rpn8
FBgn0004066	FBgn0004066	Prosalpha4
FBgn0010590	FBgn0010590	Prosbeta1
FBgn0015283	FBgn0015283	Rpn10
FBgn0016697	FBgn0016697	Prosalpha5
FBgn0020369	FBgn0020369	Rpt6
FBgn0023174	FBgn0023174	Prosbeta2
FBgn0023175	FBgn0023175	Prosalpha7
FBgn0026380	FBgn0026380	Prosbeta3
FBgn0028686	FBgn0028686	Rpt3
FBgn0028687	FBgn0028687	Rpt1
FBgn0028688	FBgn0028688	Rpn7
FBgn0028690	FBgn0028690	Rpn5
FBgn0028692	FBgn0028692	Rpn2
FBgn0028694	FBgn0028694	Rpn11
FBgn0029133	FBgn0029133	REG
FBgn0029134	FBgn0029134	Prosbeta5
FBgn0032596	FBgn0032596	Prosbeta4
FBgn0032884	FBgn0032884	Pomp
FBgn0033669	FBgn0033669	PI31
FBgn0033886	FBgn0033886	Rpn13
FBgn0086134	FBgn0086134	Prosalpha2
FBgn0250746	FBgn0250746	Prosbeta7
FBgn0250843	FBgn0250843	Prosalpha6
FBgn0261394	FBgn0261394	Prosalpha3
FBgn0261396	FBgn0261396	Rpn3
FBgn0266666	FBgn0266666	Sem1
FBgn0001263	FBgn0001263	inaD
FBgn0002938	FBgn0002938	ninaC
FBgn0003861	FBgn0003861	trp
FBgn0004435	FBgn0004435	Galphaq
FBgn0004623	FBgn0004623	Gbeta76C
FBgn0004784	FBgn0004784	inaC
FBgn0004910	FBgn0004910	Eip63F-1
FBgn0262738	FBgn0262738	norpA
FBgn0003204	FBgn0003204	ras
FBgn0003257	FBgn0003257	r-l
FBgn0010038	FBgn0010038	GstD2
FBgn0027070	FBgn0027070	Ugt36E1
FBgn0027073	FBgn0027073	Ugt49B1
FBgn0031663	FBgn0031663	CG8891
FBgn0034335	FBgn0034335	GstE1
FBgn0035907	FBgn0035907	GstO1
FBgn0036842	FBgn0036842	Ugt316A1
FBgn0063497	FBgn0063497	GstE3
FBgn0063498	FBgn0063498	GstE2
FBgn0001989	FBgn0001989	ND-B17
FBgn0010612	FBgn0010612	ATPsynG
FBgn0011227	FBgn0011227	ox
FBgn0011361	FBgn0011361	ND-ACP
FBgn0011455	FBgn0011455	ND-SGDH
FBgn0014391	FBgn0014391	sun
FBgn0015031	FBgn0015031	cype
FBgn0016119	FBgn0016119	ATPsynCF6
FBgn0016120	FBgn0016120	ATPsynD
FBgn0016691	FBgn0016691	ATPsynO
FBgn0019624	FBgn0019624	COX5A
FBgn0019644	FBgn0019644	ATPsynB
FBgn0019957	FBgn0019957	ND-42
FBgn0020235	FBgn0020235	ATPsyngamma
FBgn0021906	FBgn0021906	RFeSP
FBgn0021967	FBgn0021967	ND-PDSW
FBgn0027785	FBgn0027785	NP15.6
FBgn0028342	FBgn0028342	ATPsyndelta
FBgn0029868	FBgn0029868	ND-B16.6
FBgn0030853	FBgn0030853	ND-24
FBgn0031436	FBgn0031436	ND-B17.2
FBgn0031505	FBgn0031505	ND-B14.5B
FBgn0031771	FBgn0031771	ND-51
FBgn0031830	FBgn0031830	COX5B
FBgn0032511	FBgn0032511	ND-B22
FBgn0033570	FBgn0033570	ND-B14
FBgn0033961	FBgn0033961	ND-B15
FBgn0034645	FBgn0034645	ND-B12
FBgn0034877	FBgn0034877	levy
FBgn0035032	FBgn0035032	ATPsynF
FBgn0035046	FBgn0035046	ND-19
FBgn0035600	FBgn0035600	Cyt-c1
FBgn0036728	FBgn0036728	UQCR-Q
FBgn0037001	FBgn0037001	ND-39
FBgn0037873	FBgn0037873	SdhC
FBgn0038224	FBgn0038224	ATPsynE
FBgn0039112	FBgn0039112	SdhD
FBgn0039830	FBgn0039830	ATPsynC
FBgn0040529	FBgn0040529	COX7A
FBgn0040773	FBgn0040773	COX7C
FBgn0052230	FBgn0052230	ND-MLRQ
FBgn0262512	FBgn0262512	Vha14-1
FBgn0263911	FBgn0263911	COX8
FBgn0266582	FBgn0266582	ND-30
FBgn0000100	FBgn0000100	RpLP0
FBgn0002590	FBgn0002590	RpS5a
FBgn0002593	FBgn0002593	RpLP1
FBgn0002626	FBgn0002626	RpL32
FBgn0003274	FBgn0003274	RpLP2
FBgn0003279	FBgn0003279	RpL4
FBgn0003517	FBgn0003517	sta
FBgn0005593	FBgn0005593	RpL7
FBgn0010265	FBgn0010265	RpS13
FBgn0010408	FBgn0010408	RpS9
FBgn0010409	FBgn0010409	RpL18A
FBgn0010412	FBgn0010412	RpS19a
FBgn0011272	FBgn0011272	RpL13
FBgn0011284	FBgn0011284	RpS4
FBgn0013325	FBgn0013325	RpL11
FBgn0015756	FBgn0015756	RpL9
FBgn0017545	FBgn0017545	RpS3A
FBgn0020910	FBgn0020910	RpL3
FBgn0023170	FBgn0023170	RpL39
FBgn0024733	FBgn0024733	RpL10
FBgn0029897	FBgn0029897	RpL17
FBgn0030616	FBgn0030616	RpL37a
FBgn0033912	FBgn0033912	RpS23
FBgn0034743	FBgn0034743	RpS16
FBgn0034968	FBgn0034968	RpL12
FBgn0034986	FBgn0034986	mRpS17
FBgn0035753	FBgn0035753	RpL18
FBgn0036213	FBgn0036213	RpL10Ab
