# submitted_item	validated_id	current_symbol
43394	FBcl0461809	43394
43394	FBgn0039596	CG10000
43393	FBgn0039595	AstA-R2
43383	FBgn0000659	fkh
41451	FBcl0452011	41451
41451	FBgn0037972	CG10005
39626	FBgn0036461	Zip71B
41450	FBgn0260744	Tango9
43384	FBgn0026400	Noa36
43387	FBgn0039590	CG10011
41494	FBgn0038012	CG10013
41481	FBgn0038000	Rsbp15
49638	FBgn0024244	drm
40669	FBgn0037338	Snm1
33600	FBcl0480261	33600
33600	FBgn0031568	CG10019
33602	FBcl0446185	33602
33602	FBgn0004893	bowl
37233	FBgn0020440	Fak
35226	FBcl0460906	35226
35226	FBgn0032785	CG10026
40883	FBgn0037498	CG10029
33594	FBgn0031563	CG10031
44817	FBgn0000721	for
35227	FBgn0000964	tj
41511	FBcl0406009	41511
41511	FBgn0038028	CG10035
37364	FBcl0477328	37364
37364	FBgn0015524	otp
38752	FBcl0478240	38752
38752	FBgn0086680	vvl
41495	FBgn0038013	CG10038
38168	FBcl0479169	38168
38168	FBgn0004635	rho
41496	FBgn0038014	CG10041
41498	FBcl0432300	41498
41498	FBgn0038016	MBD-R2
35306	FBgn0015803	RtGEF
41503	FBgn0001149	GstD1
40876	FBgn0028400	Syt4
40873	FBgn0037492	CG10050
37222	FBgn0034437	CG10051
37367	FBgn0020617	Rx
40871	FBti0084864	P{GD1471}v40871
40862	FBgn0037482	CG10055
40860	FBgn0037481	MAGE
38765	FBcl0406366	38765
38765	FBgn0001104	Galphai
40859	FBgn0011020	Sas-4
37224	FBgn0034439	CG10062
38764	FBcl0433431	38764
38764	FBgn0035727	CG10063
38761	FBgn0035724	CG10064
37368	FBgn0000044	Act57B
40852	FBgn0037473	CG10068
37427	FBgn0034611	MFS16
38091	FBgn0000575	emc
37430	FBgn0016726	RpL29
38760	FBcl0455513	38760
38760	FBgn0261445	sgl
37225	FBgn0034440	CG10073
38758	FBcl0420774	38758
38758	FBgn0035722	CG10075
45931	FBgn0003475	spir
38756	FBcl0409463	38756
38756	FBgn0035720	CG10077
38753	FBcl0447109	38753
38753	FBgn0041194	Prat2
37455	FBcl0470419	37455
37455	FBgn0003731	Egfr
37462	FBgn0034641	mahj
37226	FBcl0438276	37226
37226	FBgn0034441	CG10081
37465	FBcl0437096	37465
37465	FBgn0034644	CG10082
39520	FBgn0036372	Abp1
35235	FBgn0002044	swm
40920	FBgn0037517	CG10086
39517	FBcl0419390	39517
39517	FBgn0036369	CG10089
38175	FBcl0426435	38175
38175	FBgn0261243	Psa
41500	FBcl0421082	41500
41500	FBgn0038018	Tim17a1
41502	FBcl0453685	41502
41502	FBgn0038020	GstD9
40929	FBgn0037526	ArgRS-m
41488	FBcl0461252	41488
41488	FBgn0038007	Cyp313a3
41487	FBcl0454847	41487
41487	FBgn0038006	Cyp313a2
41473	FBcl0404146	41473
41473	FBgn0037993	dpr15
3772183	FBgn0038032	CG10096
3771756	FBgn0038033	CG10097
40851	FBgn0037472	CG10098
40891	FBgn0037501	Ir84a
38750	FBcl0423871	38750
38750	FBgn0035715	Ist1
36602	FBgn0033933	CG10104
36604	FBgn0033935	Sin1
35614	FBgn0029506	Tsp42Ee
38748	FBgn0035713	velo
36606	FBgn0013725	phyl
