# submitted_item	validated_id	current_symbol
FBgn0000008	FBgn0000008	a
FBgn0000017	FBgn0000017	Abl
FBgn0000024	FBgn0000024	Ace
FBgn0000028	FBgn0000028	acj6
FBgn0000032	FBgn0000032	Acph-1
FBgn0000036	FBgn0000036	nAChRalpha1
FBgn0000037	FBgn0000037	mAChR-A
FBgn0000038	FBgn0000038	nAChRbeta1
FBgn0000039	FBgn0000039	nAChRalpha2
FBgn0000042	FBgn0000042	Act5C
FBgn0000043	FBgn0000043	Act42A
FBgn0000044	FBgn0000044	Act57B
FBgn0000045	FBgn0000045	Act79B
FBgn0000046	FBgn0000046	Act87E
FBgn0000047	FBgn0000047	Act88F
FBgn0000052	FBgn0000052	Pfas
FBgn0000053	FBgn0000053	Gart
FBgn0000057	FBgn0000057	adp
FBgn0000064	FBgn0000064	Ald1
FBgn0000075	FBgn0000075	amd
FBgn0000077	FBgn0000077	amx
FBgn0000083	FBgn0000083	AnxB9
FBgn0000084	FBgn0000084	AnxB10
FBgn0000097	FBgn0000097	aop
FBgn0000100	FBgn0000100	RpLP0
FBgn0000108	FBgn0000108	Appl
FBgn0000109	FBgn0000109	Aprt
FBgn0000114	FBgn0000114	bru1
FBgn0000115	FBgn0000115	Arl1
FBgn0000116	FBgn0000116	Argk
FBgn0000117	FBgn0000117	arm
FBgn0000119	FBgn0000119	arr
FBgn0000120	FBgn0000120	Arr1
FBgn0000121	FBgn0000121	Arr2
FBgn0000139	FBgn0000139	ash2
FBgn0000150	FBgn0000150	awd
FBgn0000153	FBgn0000153	b
FBgn0000157	FBgn0000157	Dll
FBgn0000163	FBgn0000163	baz
FBgn0000173	FBgn0000173	ben
FBgn0000179	FBgn0000179	bi
FBgn0000181	FBgn0000181	bic
FBgn0000183	FBgn0000183	BicD
FBgn0000206	FBgn0000206	boss
FBgn0000212	FBgn0000212	brm
FBgn0000221	FBgn0000221	brn
FBgn0000228	FBgn0000228	Bsg25D
FBgn0000229	FBgn0000229	bsk
FBgn0000239	FBgn0000239	bur
FBgn0000244	FBgn0000244	by
FBgn0000247	FBgn0000247	ca
FBgn0000250	FBgn0000250	cact
FBgn0000253	FBgn0000253	Cam
FBgn0000256	FBgn0000256	capu
FBgn0000257	FBgn0000257	car
FBgn0000259	FBgn0000259	CkIIbeta
