dme:Dmel_CG10000	up:Q8MYY6
dme:Dmel_CG10001	up:D6W4V7
dme:Dmel_CG10002	up:P14734
dme:Dmel_CG10002	up:E1JJ07
dme:Dmel_CG10005	up:A0A0B4KH69
dme:Dmel_CG10006	up:A4IJ72
dme:Dmel_CG10007	up:Q9VGF5
dme:Dmel_CG10009	up:Q9VAU9
dme:Dmel_CG10011	up:Q9VAU5
dme:Dmel_CG10013	up:Q9VGA7
dme:Dmel_CG10014	up:Q9VGC1
dme:Dmel_CG10016	up:Q9VQS6
dme:Dmel_CG10016	up:A0A1B2AJP0
dme:Dmel_CG10018	up:Q9VND2
dme:Dmel_CG10021	up:Q9VQU9
dme:Dmel_CG10021	up:A4V047
dme:Dmel_CG10023	up:B7YZL9
dme:Dmel_CG10026	up:Q9VIW1
dme:Dmel_CG10029	up:Q9VI96
dme:Dmel_CG10031	up:Q9VQU0
dme:Dmel_CG10033	up:P32023
dme:Dmel_CG10034	up:M9PG80
dme:Dmel_CG10035	up:Q9VG91
dme:Dmel_CG10036	up:P56672
dme:Dmel_CG10037	up:P16241
dme:Dmel_CG10037	up:A8E6G8
dme:Dmel_CG10038	up:Q95RN0
dme:Dmel_CG1004	up:P20350
dme:Dmel_CG1004	up:Q540V7
dme:Dmel_CG10041	up:Q9VGA5
dme:Dmel_CG10042	up:Q9VGA4
dme:Dmel_CG10043	up:A8DZ19
dme:Dmel_CG10045	up:P20432
dme:Dmel_CG10047	up:Q9U6P7
dme:Dmel_CG10050	up:Q9VI85
dme:Dmel_CG10051	up:A1ZBK1
dme:Dmel_CG10052	up:Q9W2Q1
dme:Dmel_CG10053	up:Q9VI83
dme:Dmel_CG10055	up:Q9VI74
dme:Dmel_CG10055	up:B5RIW4
dme:Dmel_CG10059	up:Q9I7L4
dme:Dmel_CG10060	up:P20353
dme:Dmel_CG10061	up:Q9VI72
dme:Dmel_CG10062	up:E1JGM3
dme:Dmel_CG10063	up:Q9VS03
dme:Dmel_CG10064	up:Q9VS00
dme:Dmel_CG10067	up:P53501
dme:Dmel_CG10067	up:C8VV69
dme:Dmel_CG10068	up:Q9VI65
dme:Dmel_CG10069	up:Q9W2I6
dme:Dmel_CG1007	up:P18491
dme:Dmel_CG10071	up:Q24154
dme:Dmel_CG10071	up:A0A1B2AJK8
dme:Dmel_CG10072	up:O02373
dme:Dmel_CG10073	up:A0A0B4KFC9
dme:Dmel_CG10075	up:Q9VRZ7
dme:Dmel_CG10076	up:Q9U1K1
dme:Dmel_CG10077	up:Q8MZI3
dme:Dmel_CG10078	up:Q967S0
dme:Dmel_CG10079	up:P04412
dme:Dmel_CG10080	up:Q9W2F2
dme:Dmel_CG10080	up:A0A0B4K8A5
dme:Dmel_CG10081	up:A0A0B4KG92
dme:Dmel_CG10082	up:Q961X0
dme:Dmel_CG10083	up:Q9VU84
dme:Dmel_CG10084	up:Q9VIV2
dme:Dmel_CG10086	up:Q8SYU5
dme:Dmel_CG10089	up:M9PI51
dme:Dmel_CG1009	up:Q9W0E4
dme:Dmel_CG10090	up:Q9VGA2
dme:Dmel_CG10090	up:A0A0B4LH92
dme:Dmel_CG10091	up:Q9VGA0
dme:Dmel_CG10092	up:Q8SXK2
dme:Dmel_CG10093	up:Q9VGB3
dme:Dmel_CG10093	up:D4G7E5
dme:Dmel_CG10094	up:Q9VGB4
dme:Dmel_CG10095	up:Q9VGD0
dme:Dmel_CG10096	up:Q9VG87
dme:Dmel_CG10097	up:Q9VG86
dme:Dmel_CG10098	up:Q9VI64
dme:Dmel_CG10101	up:Q9VIA5
dme:Dmel_CG10103	up:M9PEC1
dme:Dmel_CG10104	up:A1Z9Q9
dme:Dmel_CG10105	up:Q9V719
dme:Dmel_CG10106	up:Q7KJ73
dme:Dmel_CG10107	up:Q8MR14
dme:Dmel_CG10108	up:Q27934
dme:Dmel_CG10110	up:Q9V726
dme:Dmel_CG10112	up:Q7JZW0
dme:Dmel_CG10113	up:Q9VIA6
dme:Dmel_CG10116	up:Q9VU78
dme:Dmel_CG10117	up:Q9V730
dme:Dmel_CG10117	up:A0A0B4KER9
dme:Dmel_CG10118	up:P18459
dme:Dmel_CG10118	up:B5X0J4
dme:Dmel_CG10119	up:Q03427
dme:Dmel_CG10120	up:Q2QBM1
dme:Dmel_CG10121	up:Q0E8H7
