dme:Dmel_CG10000	ncbi-geneid:43394
dme:Dmel_CG10001	ncbi-geneid:43393
dme:Dmel_CG10002	ncbi-geneid:43383
dme:Dmel_CG10005	ncbi-geneid:41451
dme:Dmel_CG10006	ncbi-geneid:39626
dme:Dmel_CG10007	ncbi-geneid:41450
dme:Dmel_CG10009	ncbi-geneid:43384
dme:Dmel_CG10011	ncbi-geneid:43387
dme:Dmel_CG10013	ncbi-geneid:41494
dme:Dmel_CG10014	ncbi-geneid:41481
dme:Dmel_CG10016	ncbi-geneid:49638
dme:Dmel_CG10018	ncbi-geneid:40669
dme:Dmel_CG10019	ncbi-geneid:33600
dme:Dmel_CG10021	ncbi-geneid:33602
dme:Dmel_CG10023	ncbi-geneid:37233
dme:Dmel_CG10026	ncbi-geneid:35226
dme:Dmel_CG10029	ncbi-geneid:40883
dme:Dmel_CG10031	ncbi-geneid:33594
dme:Dmel_CG10033	ncbi-geneid:44817
dme:Dmel_CG10034	ncbi-geneid:35227
dme:Dmel_CG10035	ncbi-geneid:41511
dme:Dmel_CG10036	ncbi-geneid:37364
dme:Dmel_CG10037	ncbi-geneid:38752
dme:Dmel_CG10038	ncbi-geneid:41495
dme:Dmel_CG1004	ncbi-geneid:38168
dme:Dmel_CG10041	ncbi-geneid:41496
dme:Dmel_CG10042	ncbi-geneid:41498
dme:Dmel_CG10043	ncbi-geneid:35306
dme:Dmel_CG10045	ncbi-geneid:41503
dme:Dmel_CG10047	ncbi-geneid:40876
dme:Dmel_CG10050	ncbi-geneid:40873
dme:Dmel_CG10051	ncbi-geneid:37222
dme:Dmel_CG10052	ncbi-geneid:37367
dme:Dmel_CG10053	ncbi-geneid:40871
dme:Dmel_CG10055	ncbi-geneid:40862
dme:Dmel_CG10059	ncbi-geneid:40860
dme:Dmel_CG10060	ncbi-geneid:38765
dme:Dmel_CG10061	ncbi-geneid:40859
dme:Dmel_CG10062	ncbi-geneid:37224
dme:Dmel_CG10063	ncbi-geneid:38764
dme:Dmel_CG10064	ncbi-geneid:38761
dme:Dmel_CG10067	ncbi-geneid:37368
dme:Dmel_CG10068	ncbi-geneid:40852
dme:Dmel_CG10069	ncbi-geneid:37427
dme:Dmel_CG1007	ncbi-geneid:38091
dme:Dmel_CG10071	ncbi-geneid:37430
dme:Dmel_CG10072	ncbi-geneid:38760
dme:Dmel_CG10073	ncbi-geneid:37225
dme:Dmel_CG10075	ncbi-geneid:38758
dme:Dmel_CG10076	ncbi-geneid:45931
