#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0000003	FBgn0000003	Signal recognition particle 7SL RNA CR32864	7SLRNA:CR32864
FBgn0000008	FBgn0000008	arc	a
FBgn0000014	FBgn0000014	abdominal A	abd-A
FBgn0000015	FBgn0000015	Abdominal B	Abd-B
FBgn0000017	FBgn0000017	Abl tyrosine kinase	Abl
FBgn0000018	FBgn0000018	abnormal oocyte	abo
FBgn0000022	FBgn0000022	achaete	ac
FBgn0000024	FBgn0000024	Acetylcholine esterase	Ace
FBgn0000028	FBgn0000028	abnormal chemosensory jump 6	acj6
FBgn0000032	FBgn0000032	Acid phosphatase 1	Acph-1
FBgn0000036	FBgn0000036	nicotinic Acetylcholine Receptor alpha1	nAChRalpha1
FBgn0000037	FBgn0000037	muscarinic Acetylcholine Receptor, A-type	mAChR-A
FBgn0000038	FBgn0000038	nicotinic Acetylcholine Receptor beta1	nAChRbeta1
FBgn0000039	FBgn0000039	nicotinic Acetylcholine Receptor alpha2	nAChRalpha2
FBgn0000042	FBgn0000042	Actin 5C	Act5C
FBgn0000043	FBgn0000043	Actin 42A	Act42A
FBgn0000044	FBgn0000044	Actin 57B	Act57B
FBgn0000045	FBgn0000045	Actin 79B	Act79B
FBgn0000046	FBgn0000046	Actin 87E	Act87E
FBgn0000047	FBgn0000047	Actin 88F	Act88F
FBgn0000052	FBgn0000052	Phosphoribosylformylglycinamidine synthase	Pfas
FBgn0000053	FBgn0000053	GART trifunctional enzyme	Gart
FBgn0000055	FBgn0000055	Alcohol dehydrogenase	Adh
FBgn0000056	FBgn0000056	Adh-related	Adhr
FBgn0000057	FBgn0000057	adipose	adp
FBgn0000061	FBgn0000061	aristaless	al
FBgn0000063	FBgn0000063	Monopolar spindle 1	Mps1
FBgn0000064	FBgn0000064	Aldolase 1	Ald1
FBgn0000071	FBgn0000071	Amalgam	Ama
FBgn0000075	FBgn0000075	alpha methyl dopa-resistant	amd
FBgn0000077	FBgn0000077	almondex	amx
FBgn0000078	FBgn0000078	Amylase distal	Amy-d
FBgn0000079	FBgn0000079	Amylase proximal	Amy-p
FBgn0000083	FBgn0000083	Annexin B9	AnxB9
FBgn0000084	FBgn0000084	Annexin B10	AnxB10
FBgn0000092	FBgn0000092	daywake	dyw
FBgn0000094	FBgn0000094	Andropin	Anp
FBgn0000097	FBgn0000097	anterior open	aop
FBgn0000100	FBgn0000100	Ribosomal protein LP0	RpLP0
FBgn0000108	FBgn0000108	beta amyloid protein precursor-like	Appl
FBgn0000109	FBgn0000109	Adenine phosphoribosyltransferase	Aprt
FBgn0000114	FBgn0000114	bruno 1	bru1
FBgn0000115	FBgn0000115	ADP ribosylation factor-like 1	Arl1
FBgn0000116	FBgn0000116	Arginine kinase	Argk
FBgn0000117	FBgn0000117	armadillo	arm
FBgn0000119	FBgn0000119	arrow	arr
FBgn0000120	FBgn0000120	Arrestin 1	Arr1
FBgn0000121	FBgn0000121	Arrestin 2	Arr2
FBgn0000137	FBgn0000137	asense	ase
FBgn0000139	FBgn0000139	absent, small, or homeotic discs 2	ash2
FBgn0000140	FBgn0000140	abnormal spindle	asp
FBgn0000146	FBgn0000146	aubergine	aub
FBgn0000147	FBgn0000147	aurora A	aurA
FBgn0000150	FBgn0000150	abnormal wing discs	awd
FBgn0000152	FBgn0000152	Abnormal X segregation	Axs
FBgn0000153	FBgn0000153	black	b
FBgn0000157	FBgn0000157	Distal-less	Dll
FBgn0000158	FBgn0000158	bag of marbles	bam
FBgn0000163	FBgn0000163	bazooka	baz
FBgn0000166	FBgn0000166	bicoid	bcd
FBgn0000173	FBgn0000173	bendless	ben
FBgn0000179	FBgn0000179	bifid	bi
FBgn0000180	FBgn0000180	big brain	bib
FBgn0000181	FBgn0000181	bicaudal	bic
FBgn0000182	FBgn0000182	Bicaudal C	BicC
FBgn0000183	FBgn0000183	Bicaudal D	BicD
FBgn0000206	FBgn0000206	bride of sevenless	boss
FBgn0000212	FBgn0000212	brahma	brm
FBgn0000216	FBgn0000216	Bearded	Brd
FBgn0000221	FBgn0000221	brainiac	brn
FBgn0000227	FBgn0000227	Blastoderm-specific gene 25A	Bsg25A
FBgn0000228	FBgn0000228	Blastoderm-specific gene 25D	Bsg25D
FBgn0000229	FBgn0000229	basket	bsk
FBgn0000233	FBgn0000233	buttonhead	btd
FBgn0000239	FBgn0000239	burgundy	bur
FBgn0000241	FBgn0000241	brown	bw
FBgn0000244	FBgn0000244	blistery	by
FBgn0000246	FBgn0000246	crossover suppressor on 3 of Gowen	c(3)G
FBgn0000247	FBgn0000247	claret	ca
FBgn0000250	FBgn0000250	cactus	cact
FBgn0000251	FBgn0000251	caudal	cad
FBgn0000253	FBgn0000253	Calmodulin	Cam
FBgn0000256	FBgn0000256	cappuccino	capu
FBgn0000257	FBgn0000257	carnation	car
FBgn0000259	FBgn0000259	Casein kinase II beta subunit	CkIIbeta
FBgn0000261	FBgn0000261	Catalase	Cat
FBgn0000273	FBgn0000273	Protein kinase, cAMP-dependent, catalytic subunit 1	Pka-C1
FBgn0000274	FBgn0000274	Protein kinase, cAMP-dependent, catalytic subunit 2	Pka-C2
FBgn0000276	FBgn0000276	Cecropin A1	CecA1
FBgn0000277	FBgn0000277	Cecropin A2	CecA2
FBgn0000278	FBgn0000278	Cecropin B	CecB
FBgn0000279	FBgn0000279	Cecropin C	CecC
FBgn0000283	FBgn0000283	Centrosomal protein 190kD	Cp190
FBgn0000286	FBgn0000286	Chorion factor 2	Cf2
